area,rooms,bathrooms,parking_spaces,title,neighbourhood_city,street,sell_value
48 m²,2,2,1,"Portal Alto das Oliveiras - 48,42m2 - 2 dorm com suíte Rua Elysaldo Goes nº 105, Parque das Oliveiras II - Ribeirão Preto, São Paulo O Pré-Lançamento mais aguardado chegou em Ribeirão Preto!! Vem aí mais um apartamento com a qualidade Premium que só a BRZ tem, conheça o Portal Alto das Oliveiras são 2 quartos com suítes e varanda no bairro que mais valoriza! Condomínio inteligente, planejado para proporcionar aos moradores qualidade, comodidade e praticidade que você e a sua família merecem!! Área de lazer completa com piscina, churrasqueiras e serviços exclusivos da Housi!! Piscina, Playground, churrasqueira, salão de festa, solário (espaço para descanso ao lado da piscina), bike compartilhada, carregador de carro elétrico, carro compartilhado, housi café, Vending machines (adega) e empório.","Parque das Oliveiras II, Ribeirão Preto",Rua Elysaldo Góes,
47 - 60 m²,2,1,1,"Village Novus - Um novo jeito de viver na Zona Sul de Ribeirão Preto. Um empreendimento que é a cara de quem valoriza a natureza, a comodidade e praticidade. Uma experiência única em Ribeirão Preto, com mais segurança, tranquilidade e lazer. São apartamentos de 2 dorms lazer completo, varanda e vaga. O Seu Direcional em Ribeirão Preto. Proximidades Icone Proximidade Escola Colégio Marista Champagnat, Centro Educacional Jean Piaget, E.E. Expedicionários Brasileiros Icone Proximidade Faculdade Faculdade REGES de Ribeirão Preto, UNIP - Ribeirão Preto, Centro Universitário Estácio Icone Proximidade Shoppings Ribeirão Shopping, Iguatemi Icone Proximidade Restaurantes Kikitos Grill, Churrascaria Bandeirantes, Restaurante da Tulha Lançamento - Produto Direcional Diferenciais do Empreendimento Icone Diferencial Lazer CompletoIcone Diferencial Opções na PlantaIcone Diferencial Localização PrivilegiadaIcone Diferencial VarandaIcone Diferencial Quadra PoliesportivaIcone Diferencial Condomínio FechadoIcone Diferencial Comércios no localIcone Diferencial Espaço FitnessIcone Diferencial Utilize seu FGTSIcone Diferencial Condições de Pagamento Facilitadas","Condomínio Guaporé 1, Ribeirão Preto",Avenida Heráclito Fontoura Sobral Pinto,
40 - 50 m²,1 - 2,2,1,"Sobre o empreendimento O seu Direcional no coração da Zona Sul, com o Reserva Jardim Botânico você tem o privilégio de morar em um dos bairros mais bem localizados de Ribeirão Preto. Um condomínio único, idealizado para pessoas que valorizam a exclusividade. Mais do que a localização diferenciada, destaque a segurança de viver em um condomínio fechado e a comodidade de estar próximo a tudo o que mais importa e a possibilidade de descobrir coisas novas, que aumentam a qualidade de vida no dia a dia. Proximidades: Escola, Hospitais, Shoppings ÁREA DE LAZER: Praça de Convivência, Beach Tennis/Vôlei de Praia, Churrasqueiras, Quadra Recreativa, Fitness Cross, Pet Place, Salão de Festas, Espaço Happy Hour, Playground, Academia, Piscinas Adulto e Infantil, Bike Sharing e Oficina de Bike.","City Ribeirão, Ribeirão Preto",Avenida Guilhermina Cunha Coelho,
500 m²,,3,7,"Imóvel comercial, Bairro Vila Seixas, (Zona Central), em Ribeirão Preto/SP: - Esquina; - Banheiros; - Fachada em blindex; - Escritório; - Lavanderia; - Em avenida de grande fluxo. A Piramid tem como objetivo atender seus clientes com agilidade e segurança, em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da cidade de Ribeirão. ref. 213884 atualizado em 05/12.","Vila Seixas, Ribeirão Preto",,R$ 7.000.000
53 m²,2,1,1,"61209 Apartamento de 53m² em ótima localização - Mirante Sul. 2 dormitórios, sendo 1 suíte. Suíte ampla com armários. Sala 2 ambientes, banheiro social. Cozinha planejada, área de serviço. Vaga de garagem para 1 veículo. Face sombra. Condomínio oferece portaria 24 horas, elevador, salão de festas, espaço gourmet, piscinas, academia, campo de futebol e playground. Código do Imóvel: 4667.","Condomínio Mirante Sul, Ribeirão Preto",Rua Olavio Rodrigues de Souza,R$ 192.000
224 m²,,6,,"Prédio comercial, Bairro Jardim América, (Zona Sul), em Ribeirão Preto/SP: - 4 salas amplas com banheiro pr9ivativo, sendo 2 salas com vista livre; - Sala em L para reuniões; - Recepção; - 6 banheiros, sendo 1 para PNE; - Possibilidade para projeto de 8 menores; - 4 vagas de garagem. A Piramid tem como objetivo atender seus clientes com agilidade e segurança, em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da cidade de Ribeirão. ref. 212315 atualizado em 05/12.","Jardim América, Ribeirão Preto",,R$ 850.000
40 m²,2,1,1,"Apartamento no Residencial Parque Dos Lagos a venda em Rua João Guimarães Rosa - Residencial Parque dos Servidores - Ribeirão Preto/SP Vende-se excelente apartamento em ótima localização, bairro maravilhoso para morar com tranquilidade, próximo a mercado,farmácia,escola, lanchonete, barzinho, ponto de ônibus, restaurante e acesso fácil para o centro Barro: Parque dos Lagos - Ribeirão Preto Valor da venda R$ 170.000,00 02 - Dormitorios 01 - Sala 01 - Banheiro com box e gabinete 01 - Cozinha 01 - Lavanderia 01 - Vaga de garagem Apartamento com excelente condomínio com portaria 24 horas proporcionando segurança total, área de lazer completa com toda estrutura para seu lazer #ApartamentoAVenda #ApartamentoAVendaResidencialParquedosServidores - 2 dormitórios - 0 suítes - Residencial Parque dos Servidores | Ribeirão Preto Vale a pena visitar rápido! Venha para o Residencial Parque dos Servidores, o melhor bairro de Ribeirão Preto! Aqui você encontra tudo o que precisa para viver bem: áreas verdes, lazer, segurança, tranquilidade e muito mais. O Residencial Parque dos Servidores é um bairro nobre, com mais de 25 anos de história. Foi criado para abrigar os servidores públicos municipais, estaduais e federais que trabalham na região. Aqui, você encontra tudo o que precisa para viver bem: áreas verdes, lazer, segurança, tranquilidade e muito mais. Além disso, o bairro conta com uma excelente infraestrutura, como escolas, postos de saúde, supermercados, restaurantes, bancos e muito mais. Venha para o Residencial Parque dos Servidores e desfrute de todas as vantagens que o bairro oferece. Aqui, você encontrará tudo o que precisa para viver com qualidade de vida. Venha para o Residencial Parque dos Servidores e desfrute de todas as vantagens que o bairro oferece. Ligue agora para e agende uma visita com um especialista em imóveis NEWCORE! A NEWCORE possui diversas equipes especializadas em várias regiões do Brasil, com corretores experientes e capacitados que te ajudarão a encontrar o imóvel dos seus sonhos Anúncio do corretor de imóveis Edilma Da Silva CRECI: 264604","Residencial Parque dos Servidores, Ribeirão Preto",Rua João Guimarães Rosa,R$ 169.600
86 m²,2,3,2,"85,75 m2 com 2 dormitórios/suítes mais lavabo. Varanda gourmet já entregue com a churrasqueira e vista livre. Alto padrão com porcelanato de qualidade superior. Esquadria em alumínio e vidro. Equipado com gerador de energia. Medições individualizadas de gás, energia e agua para cada apartamento. Infraestrutura pronta de ar condicionado Split nos 2 dormitórios/suítes, Infraestrutura de aquecimento a gás. Agua quente nos chuveiros, nos lavatórios dos banheiros e na cozinha. -","Nova Aliança, Ribeirão Preto",Rua Palmyra Magnani Protti,R$ 589.652
86 m²,3,2,2,"Lindo Apartamento com 03 dormitórios , sendo uma suíte, todos com armários embutidos, Banheiro social, Sala com sacada, Cozinha com armários e mesa, Lavanderia, 02 Garagens cobertas no subsolo para carros de passeio, Quartinho de despejo no subsolo! Obs: Condomínio e Iptu já inclusos no valor do aluguel! *Localização divulgada aproximada ao imóvel, para conhecer pessoalmente agende sua visita. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso -","Alto do Ipiranga, Ribeirão Preto",Rua Porto União,R$ 223.000
120 m²,3,2,2,"Casa 3 dormitórios sendo 1suite, sala dois ambientes, banheiro social, cozinha tipo ameicana com armários, 2 vagas de garagem coberta, armarios planejados, area de churrasco, ar condicionado, portao eletronico. -","Bonfim Paulista, Ribeirão Preto",,R$ 479.000
